tconst,title,year,ordering,Actor,Category,Job
tt4110568,Dil Dhadakne Do,2015,1,Anil Kapoor,actor,\N
tt5842616,Veere Di Wedding,2018,9,Anil Kapoor,producer,producer
tt6272828,Mubarakan,2017,1,Anil Kapoor,actor,\N
tt7431594,Race 3,2018,1,Anil Kapoor,actor,\N
tt7639372,Total Dhamaal,2019,2,Anil Kapoor,actor,\N
tt9877170,Malang,2020,2,Anil Kapoor,actor,\N
tt5982852,Jolly LLB 2,2017,4,Annu Kapoor,actor,\N
tt9248940,Dream Girl,2019,3,Annu Kapoor,actor,\N
tt3398048,Tevar,2015,8,Boney Kapoor,producer,producer
tt5690142,Mom,2017,8,Boney Kapoor,producer,producer
tt4434004,Udta Punjab,2016,9,Ekta Kapoor,producer,producer
tt4906984,Azhar,2016,8,Ekta Kapoor,producer,producer
tt5235880,A Flying Jatt,2016,10,Ekta Kapoor,producer,producer
tt5474042,Half Girlfriend,2017,9,Ekta Kapoor,producer,producer
tt5842616,Veere Di Wedding,2018,10,Ekta Kapoor,producer,producer
tt9248940,Dream Girl,2019,8,Ekta Kapoor,producer,producer
tt4430136,Pyaar Ka Punchnama 2,2015,2,Omkar Kapoor,actor,\N
tt4007558,Shaandaar,2015,3,Pankaj Kapur,actor,\N
tt4430212,Drishyam,2015,4,Rajat Kapoor,actor,\N
tt4900716,Kapoor & Sons,2016,4,Rajat Kapoor,actor,\N
tt7098658,Raazi,2018,3,Rajit Kapoor,actor,\N
tt6580564,102 Not Out,2018,3,Rishi Kapoor,actor,\N
tt4007558,Shaandaar,2015,4,Sanjay Kapoor,actor,\N
tt4434004,Udta Punjab,2016,10,Shobha Kapoor,producer,producer
tt4906984,Azhar,2016,9,Shobha Kapoor,producer,producer
tt5474042,Half Girlfriend,2017,10,Shobha Kapoor,producer,producer
tt9248940,Dream Girl,2019,9,Shobha Kapoor,producer,producer
tt4007558,Shaandaar,2015,9,Anurag Kashyap,producer,producer
tt7485048,Super 30,2019,7,Anurag Kashyap,producer,producer
tt3159708,Welcome Back,2015,6,Rajeev Kaul,writer,story
tt9877170,Malang,2020,4,Kunal Khemu,actor,\N
tt5074352,Dangal,2016,1,Aamir Khan,actor,\N
tt5970844,Thugs Of Hindostan,2018,1,Aamir Khan,actor,\N
tt6108090,Secret Superstar,2017,4,Aamir Khan,actor,\N
tt6843812,Baaghi 2,2018,5,Ahmed Khan,director,\N
tt8366590,Baaghi 3,2020,5,Ahmed Khan,director,\N
tt7059844,Dabangg 3,2019,10,Arbaaz Khan,producer,producer
tt1806913,Hotchpotch Again,2017,2,Arshad Warsi,actor,\N
tt3405236,Raees,2017,10,Gauri Khan,producer,producer
tt4535650,Dilwale,2015,9,Gauri Khan,producer,producer
tt5946128,Dear Zindagi,2016,8,Gauri Khan,producer,producer
tt5997666,When Harry Met Sejal,2017,6,Gauri Khan,producer,producer
tt6527426,Zero,2018,7,Gauri Khan,producer,producer
tt7881550,Har Kisse Ke Hisse: Kaamyaab,2020,7,Gauri Khan,producer,producer
tt8130968,Badla,2019,8,Gauri Khan,producer,producer
tt3767372,Piku,2015,3,Irrfan Khan,actor,\N
tt5764096,Hindi Medium,2017,1,Irrfan Khan,actor,\N
tt8907986,Angrezi Medium,2020,1,Irrfan Khan,actor,\N
tt3469244,Phantom,2015,1,Saif Ali Khan,actor,\N
tt3678782,City of Revenge,2015,9,Saif Ali Khan,producer,producer
tt8108274,Tanhaji: The Unsung Warrior,2020,2,Saif Ali Khan,actor,\N
tt9248952,Jawaani Jaaneman,2020,1,Saif Ali Khan,actor,\N
tt2424988,Gabbar is Back,2015,10,Shabina Khan,producer,producer
tt3495026,Fan,2016,1,Shah Rukh Khan,actor,\N
tt4535650,Dilwale,2015,1,Shah Rukh Khan,actor,\N
tt5946128,Dear Zindagi,2016,2,Shah Rukh Khan,actor,\N
tt5997666,When Harry Met Sejal,2017,1,Shah Rukh Khan,actor,\N
