tconst,title,year,ordering,Actor,Character Played
tt4302956,Kis Kisko Pyaar Karoon,2015,2,Simran Kaur Mundi,"[""Simran""]
"
tt4302956,Kis Kisko Pyaar Karoon,2015,4,Sai Lokur,"[""Anjali""]
"
tt4302956,Kis Kisko Pyaar Karoon,2015,1,Kapil Sharma,"[""Shiv Ram Kishan Kumar""]
"
tt4387040,Airlift,2016,1,Akshay Kumar,"[""Ranjit Katyal""]
"
tt4387040,Airlift,2016,3,Kumud Mishra,"[""Sanjeev Kohli""]
"
tt4387040,Airlift,2016,2,Nimrat Kaur,"[""Amrita Katyal""]
"
tt4387040,Airlift,2016,4,Prakash Belawadi,"[""George""]
"
tt4430136,Pyaar Ka Punchnama 2,2015,2,Omkar Kapoor,"[""Tarun""]
"
tt4430136,Pyaar Ka Punchnama 2,2015,3,Sunny Singh Nijjar,"[""Chauka""]
"
tt4430136,Pyaar Ka Punchnama 2,2015,4,Nushrat Bharucha,"[""Chiku""]
"
tt4430136,Pyaar Ka Punchnama 2,2015,1,Kartik Aaryan,"[""Anshul""]
"
tt4430212,Drishyam,2015,3,Tabu,"[""I.G. Meera Deshmukh""]
"
tt4430212,Drishyam,2015,1,Ajay Devgn,"[""Vijay Salgaonkar""]
"
tt4430212,Drishyam,2015,4,Rajat Kapoor,"[""Mahesh Deshmukh""]
"
tt4430212,Drishyam,2015,2,Shriya Saran,"[""Nandini Salgaonkar""]
"
tt4434004,Udta Punjab,2016,3,Kareena Kapoor,"[""Preet Sahani""]
"
tt4434004,Udta Punjab,2016,2,Alia Bhatt,"[""Kumari Pinky""]
"
tt4434004,Udta Punjab,2016,1,Shahid Kapoor,"[""Tommy Singh""]
"
tt4434004,Udta Punjab,2016,4,Diljit Dosanjh,"[""Sartaj Singh""]
"
tt4467202,Hero,2015,3,Tigmanshu Dhulia,"[""Shrikant Mathur""]
"
tt4467202,Hero,2015,4,Aditya Pancholi,"[""Suryakant Pasha Ranade""]
"
tt4467202,Hero,2015,1,Sooraj Pancholi,"[""Sooraj""]
"
tt4467202,Hero,2015,2,Athiya Shetty,"[""Radha""]
"
tt4535650,Dilwale,2015,2,Kajol,"[""Meera Malik""]
"
tt4535650,Dilwale,2015,1,Shah Rukh Khan,"[""Raj"""
tt4535650,Dilwale,2015,3,Varun Dhawan,"[""Veer""]
"
tt4535650,Dilwale,2015,4,Kriti Sanon,"[""Ishita""]
"
tt4559006,Ae Dil Hai Mushkil,2016,2,Aishwarya Rai Bachchan,"[""Saba""]
"
tt4559006,Ae Dil Hai Mushkil,2016,1,Ranbir Kapoor,"[""Ayan Sanger""]
"
tt4559006,Ae Dil Hai Mushkil,2016,4,Fawad Khan,"[""Ali""]
"
tt4559006,Ae Dil Hai Mushkil,2016,3,Anushka Sharma,"[""Alizeh""]
"
tt4559046,Housefull 3,2016,4,Jackie Shroff,"[""Urja Nagre""]
"
tt4559046,Housefull 3,2016,2,Abhishek Bachchan,"[""Bunty""]
"
tt4559046,Housefull 3,2016,1,Akshay Kumar,"[""Sandy AKA Sundi""]
"
tt4559046,Housefull 3,2016,3,Riteish Deshmukh,"[""Teddy""]
"
tt4640206,Sachin - A Billion Dreams,2017,1,Sachin Tendulkar,"[""Sachin Tendulkar""]
"
tt4640206,Sachin - A Billion Dreams,2017,4,Akshay Bhagat,"[""Bookie""]
"
tt4640206,Sachin - A Billion Dreams,2017,3,Mayuresh Pem,"[""Nitin Tendulkar""]
"
tt4640206,Sachin - A Billion Dreams,2017,2,Mayur More,"[""Ajit Tendulkar""]
"
